"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Finland","FIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2605354","2568279","2530714","2511334","2491507","2469675","2460770","2509299","2525303","2566923","2583129","2606649","2618114","2620447","2612340","2632616","2660139","2687155","2715926","2688826","2678175","2693382","2700773","2686349","2690277","2699822","2694829","2716261","2749812","2758855","2751071","2774226",
"Fiji","FJI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284005","286804","287849","290060","291979","294492","297960","302943","308693","314452","319906","324952","329671","334199","338590","335118","346566","357794","368200","377788","387052","396150","389837","382931","375549","372681","369664","370220","370965","372229","367253","370522",
"France","FRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25915650","25965659","26197040","26351924","26472563","26614450","26937253","26942697","27090955","27398160","27582518","27705599","28039182","28620674","28778198","29016874","29193292","29457032","29670796","29922457","30022646","30031229","30288027","30432522","30411866","30494746","30508009","30547529","30691326","30652293","30379166","31264401",
"Faroe Islands","FRO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284337","291990","299941","308208","316761","325621","334954","344612","354612","364986","375808","387112","398989","411511","424768","438907","453495","469143","485789","503378","521999","541221","561279","581923","602234","621349","640490","658144","675085","691827","674538","698691",
"United Kingdom","GBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29212288","29083861","28980863","28773930","28764406","28774443","28921108","29090800","29150168","29238963","29511805","29521902","29839232","30095093","30341589","30813208","31317979","31527354","31927771","32084960","32236186","32478069","32778349","33061439","33331375","33614103","33939706","34128763","34415435","34695932","34633193","34465043",
"Georgia","GEO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2371540","2404629","2443064","2485668","2475804","2371256","2256057","2160526","2103909","2090746","2003965","2052705","2011314","2046867","2011427","1992450","1938834","1974742","1982038","2001608","2015786","2022484","2047551","2027705","2039516","2065655","2046196","1971577","1895181","1856197","1866753","1867509",
"Ghana","GHA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6378334","6558143","6728212","6915425","7108593","7309646","7518901","7743786","7986401","8228398","8469005","8727477","9000790","9271299","9537156","9799106","10059045","10319873","10577661","10827196","11061367","11285673","11512114","11743140","11979984","12224092","12541820","12868929","13192290","13516315","13734537","14140200",
"Gibraltar","GIB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2292615","2386500","2462037","2535696","2609449","2680002","2756879","2800836","2839451","2898071","2944411","2965192","3001647","3044383","3082810","3113788","3149846","3199079","3254659","3311120","3368027","3426953","3486597","3545237","3605102","3668093","3732312","3795285","3858186","3923389","4004061","4113877",
"Gambia, The","GMB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323912","338182","352377","365370","376809","388045","399749","411959","424672","437973","451850","466278","481236","496098","510946","526559","543168","560776","579227","598365","618021","638416","659823","685019","711111","737921","765643","794311","824123","850208","869941","907836",
"Guinea-Bissau","GNB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296155","303299","313408","324862","335946","345629","354821","363407","371641","379959","388957","398513","408316","418278","428397","438550","449185","460399","472249","484764","498014","512256","527145","542604","558485","574824","591864","609440","627598","646165","659378","680465",
"Equatorial Guinea","GNQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156528","161560","166853","172406","178225","184401","190943","197880","205297","213444","223164","234637","247294","261130","276030","291795","307913","324417","341311","358504","375847","393162","410173","427253","444352","461249","478114","494535","511120","528292","527811","545179",
"Greece","GRC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160821","4121437","4241652","4296412","4400880","4485913","4591286","4618594","4765338","4832125","4860889","4819343","4881094","4935423","5019191","5019255","5043207","5031298","5032007","5073731","5075825","4983604","4927758","4867433","4812543","4788983","4774947","4753621","4727112","4735274","4643796","4605900",
"Grenada","GRD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3072161","3166988","3266357","3365505","3464549","3566441","3666113","3772490","3885815","4000434","4118196","4234323","4358791","4484110","4617954","4720723","4825217","4931026","5037761","5145327","5253574","5486770","5980602","5682211","5883588","6022488","6184488","6364813","6472399","6481135","6403877","6642741",
"Guam","GUM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70480","71111","71686","72249","72813","73383","73927","74448","74965","75471","75788","73941","70851","70968","71107","70975","73394","68162","70977","73744","73809","75657","76039","76377","76670","76900","77068","77194","77282","77360","77087","78201",
"Guyana","GUY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","277460","278657","281276","284024","283581","282857","281853","280625","279273","277877","276466","275127","273949","274062","274765","275586","276658","277906","279037","279981","280727","281215","282787","285029","286708","288326","289827","291179","301413","284892","281272","286857",
"High income","HIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","491574973","497845833","502684134","505570299","510371829","514240353","519252796","525222064","529191458","533947476","538649445","541461888","544882595","548892578","553283584","560250878","567823804","574498012","581442479","584438599","587237741","589410954","593774015","597269441","601321609","605232699","611303845","616655318","622056861","628357165","622892928","624939856",
"Hong Kong SAR, China","HKG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2838750","2897542","2880621","2951648","3035894","3088667","3235494","3274618","3328056","3341325","3353910","3439630","3493929","3479071","3525372","3550951","3614884","3662908","3680132","3698404","3672023","3742584","3818310","3880979","3899441","3940825","3956680","3978306","4008835","3992610","3910149","3866026",
"Honduras","HND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1791667","1843685","1910415","1980723","2045671","2121835","2194674","2273982","2352439","2425908","2451680","2513802","2576593","2639855","2703743","2768649","2775987","2823834","2946258","3103859","3260247","3243536","3268694","3613486","3810624","3919626","3983810","4161688","4431793","4399023","4206572","4428040",
"Heavily indebted poor countries (HIPC)","HPC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139347355","143183861","147416385","151819876","156207638","160876084","165588569","170171288","175016553","180107801","185206183","190637937","196648959","202961742","209278570","215726160","221830681","227616268","233508160","239747135","245989331","252593808","259039283","266635729","274599121","282781356","291808043","301478519","311610207","321234008","322998531","336104196",
"Croatia","HRV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2169516","2154766","2090043","2091528","2105851","2079373","2035625","2009275","1991953","1967715","1932906","1845629","1833312","1808041","1844858","1796374","1785298","1924507","1933843","1934048","1912849","1883511","1865281","1844972","1896011","1896675","1835203","1824724","1794304","1781597","1772376","1733479",
"Haiti","HTI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2675080","2713021","2753408","2796148","2841077","2888417","2932994","2979716","3027932","3077729","3129439","3217342","3308244","3402415","3498794","3597996","3707666","3817640","3928341","4039702","4132947","4215545","4302589","4396857","4492198","4583225","4673964","4764708","4852965","4930691","4969248","5059273",
"Hungary","HUN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4467050","4483568","4501702","4346342","4221894","4150987","4065883","4011908","4078351","4159391","4187699","4152274","4157742","4227774","4203079","4272899","4323154","4306927","4275905","4265166","4298779","4310224","4358321","4393129","4508046","4587118","4651601","4688293","4720978","4748584","4724407","4920977",
"IBRD only","IBD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1546206782","1574089939","1603269383","1627448845","1656723734","1684447338","1710624215","1740992938","1772380100","1806821844","1836075117","1864205408","1891499699","1921000267","1952936269","1983510122","2003438248","2024292509","2038447049","2052413762","2063344838","2082413986","2098984211","2115577325","2133052390","2151259972","2166591606","2178945523","2192084840","2212708357","2150655266","2188832658",
"IDA & IBRD total","IBT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1852864353","1889519917","1927555426","1960466857","1999092988","2035979475","2072822373","2113944351","2155866395","2201522052","2242102823","2281997408","2320814385","2361972577","2405660930","2447727846","2478802845","2510875103","2536274135","2562138374","2586145014","2618013737","2644723862","2671607056","2701098477","2734146528","2763133394","2792442145","2821564138","2857983085","2796525409","2855488519",
"IDA total","IDA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306657571","315429979","324286043","333018012","342369254","351532137","362198158","372951413","383486295","394700208","406027706","417791999","429314685","440972310","452724661","464217724","475364597","486582594","497827086","509724612","522800177","535599751","545739651","556029731","568046087","582886557","596541788","613496622","629479299","645274728","645870143","666655861",
"IDA blend","IDB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93350213","96374176","99086725","101383951","104302612","106794165","110745367","114799461","118151432","121886642","125979741","129973320","133627443","137252636","140983055","144252065","147620939","151457731","155170825","159509946","164132974","168290050","170396433","172209055","175455377","180574463","183976979","187616043","191508635","195974665","196646311","202651862",
"Indonesia","IDN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77668472","79193231","81684204","82891258","86489462","88673401","90864373","92278616","95250146","97791872","100650985","101677750","101821406","103208206","105014965","104711526","106146818","111277712","113275274","114480692","117183520","119580342","122341616","122963175","124478020","126141824","127339753","129760152","133327296","136201928","136106884","134381721",
"IDA only","IDX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213307358","219055803","225199317","231634061","238066642","244737972","251452791","258151952","265334863","272813566","280047964","287818680","295687243","303719674","311741606","319965660","327743658","335124863","342656261","350214666","358667203","367309701","375343218","383820676","392590710","402312094","412564809","425880578","437970664","449300063","449223832","464003999",
"Isle of Man","IMN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292728675","299747010","306936383","314332868","322025247","333111271","344557638","356350639","368471396","380920028","393669902","399564210","405389783","411069158","416629763","421959543","431250081","440568401","449860967","459168957","468646277","472419463","476025355","476574158","476778640","476681511","476439285","475894653","474730681","501044015","496925521","507704840",
"Not classified","INX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1441683","1467162","1452527","1487445","1523531","1549472","1597376","1645092","1729483","1803374","1862430","1898123","1941828","1984446","2033886","2151141","2241382","2336096","2355177","2303515","2252263","2231095","2225018","2247873","2258498","2285833","2330010","2354153","2397838","2446760","2432234","2551561",
"Iran, Islamic Rep.","IRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14658483","15277281","15536858","15456580","15410031","15680499","16004638","16738211","17569208","18444412","19362018","20310913","21067247","21807454","22728486","23637284","23912566","24076472","23395022","24401195","24374966","23747703","24358271","24633773","24780719","25883065","27040336","28100799","28610020","28702960","27169143","28071270",
"Iraq","IRQ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4147362","4201883","4322873","4551824","4789570","4961875","5138113","5298923","5475444","5664233","5864591","6063313","6271603","6477441","6679058","6897082","6967996","6932361","7077687","7347181","7588942","7854695","8207067","8827667","9385898","9709072","10025430","10020634","10390616","10698396","10663336","10683686",
"Iceland","ISL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142823","144699","147743","147715","149400","155613","154551","154357","159420","164408","169444","171255","170967","173624","173541","175622","183451","189725","192115","188716","188369","187550","189063","192997","198891","203751","209633","213259","217131","220983","218866","222391",
"Israel","ISR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900701","2035534","2133756","2252545","2353183","2442219","2486878","2540159","2582174","2670725","2775397","2847056","2873039","2943707","3023076","3101315","3180735","3266238","3324067","3403706","3482638","3531041","3623923","3694723","3795478","3859942","3933469","3998508","4073299","4125006","4086174","4231237",
"Italy","ITA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23540980","24210878","23418471","23260673","23079356","22924712","23037247","23099350","23268797","23420632","23493362","23598179","23868582","24218787","24606509","24448131","24509228","24473855","24816662","24612153","24546581","24567360","25127011","25287655","25689865","25654399","25932536","26103399","26164163","25907430","25126336","25077277",
"Jamaica","JAM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1084723","1094046","1102473","1109934","1117568","1125457","1133680","1141991","1150083","1154053","1160867","1167307","1177195","1187098","1202741","1215547","1227830","1240435","1253197","1228184","1213350","1239320","1256812","1299092","1331653","1409375","1408534","1436161","1443443","1487233","1453541","1516188",
"Jordan","JOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","731659","794853","850862","917992","981184","1033874","1075614","1106997","1134843","1161901","1188660","1200773","1220552","1222762","1276711","1334683","1414284","1600354","1637732","1710771","1734495","1768822","1759866","1842302","2038462","2321528","2533543","2698786","2707735","2791810","2922683","2973992",
"Japan","JPN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64191083","65411460","66263736","66635449","66928602","67146853","67637962","68212474","68159606","68037466","67817651","67626064","67075750","66836857","66578270","66666565","66782266","66892223","66726949","66456032","66231666","65813075","65518907","65768575","65973876","66061546","66669413","67225082","68386820","69045529","68953988","68858890",
"Kazakhstan","KAZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7810055","7911932","7941312","7968550","7924669","7813445","7733857","7670559","7618602","7597281","7596247","7610812","7659421","7751505","7852764","7926592","8071657","8262978","8502563","8642962","8725679","8798238","8857279","8913429","8968071","9019041","9066824","9113763","9164074","9226063","9183306","9293787",
"Kenya","KEN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8597324","8920637","9238191","9560699","9892867","10229142","10565712","10913309","11272301","11659977","12114213","12601492","13103363","13606235","14125164","14646884","15171370","15697007","16235546","16792370","17354366","17926485","18509902","19107608","19718332","20338655","20989036","21588085","22178699","22775100","23230574","24116303",
"Kyrgyz Republic","KGZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1654026","1697258","1747057","1778195","1829932","1868861","1888987","1907781","1952828","1996836","2031653","2062926","2110388","2146654","2185852","2265641","2342075","2369747","2391802","2386070","2427936","2473003","2477827","2444726","2474044","2509481","2509364","2482869","2464123","2559835","2560164","2595338",
"Cambodia","KHM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3922450","4016505","4177923","4395150","4690509","4797344","4939524","5060989","5271512","5489200","5628400","5767446","5906250","6043081","6174654","6299979","6420997","6537059","6640929","6724526","6789462","6837902","6865596","7112623","7368200","7620595","7874603","8131979","8386085","8636531","8690980","8888364",
"Kiribati","KIR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19059953","19597696","20042803","20378898","20965033","21459938","21896543","22397570","22007668","22254063","22867803","23226361","23664352","23675016","24194813","24332456","24612209","24884098","25067296","25091240","25419752","25870939","26269374","26634430","27387622","27788180","28041852","28349692","28513895","28808832","28597159","28758925",
"Kuwait","KWT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","665871","538637","654682","691139","725357","752419","780145","808216","838862","872589","909796","950644","994810","1041698","1090323","1147001","1215844","1292050","1373722","1461758","1556530","1690072","1859490","2029027","2112205","2228983","2324359","2370772","2494812","2567847","2411351","2359211",
"Latin America & Caribbean (excluding high income)","LAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152796764","156784949","161554308","166672182","171466597","176221621","178648059","185018110","189925036","194097548","198224130","202831653","207284569","212420985","218395689","223858193","228391109","231616155","235373795","240550968","242823140","245583885","250108303","253797808","257137453","261371351","265397912","269966984","274911925","280151198","260980597","276150586",
"Lao PDR","LAO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1592895","1636325","1677746","1718228","1755007","1792889","1830839","1868412","1910119","1947614","1988173","2029988","2072939","2117142","2162269","2212733","2267675","2324756","2380128","2433807","2483798","2533280","2581855","2630471","2680174","2729994","2779720","2829302","2879155","2930353","2960297","3020830",
"Lebanon","LBN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1009534","1036212","1055875","1081245","1108224","1137458","1158170","1190972","1220705","1257862","1293956","1325524","1356622","1390033","1423158","1451911","1482793","1517001","1570250","1618641","1660064","1702170","1772391","1970051","2204614","2262668","2213003","2160129","2104271","2045681","1822235","1859385",
"Liberia","LBR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","960812","845752","898513","937015","937364","948960","978874","1060337","1175828","1243303","1288502","1326530","1360243","1368627","1381867","1441782","1521037","1594636","1659334","1711986","1761185","1843856","1918752","1956429","1995184","2037700","2082707","2126460","2173066","2223648","2262189","2336292",
"Libya","LBY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1161354","1205228","1251161","1298724","1346991","1394490","1440121","1483959","1527025","1570898","1621135","1677834","1736507","1796446","1856980","1917382","1972847","2024974","2078046","2129542","2178542","2038220","1894791","1939322","1982523","2018647","2056168","2099015","2146212","2192471","2159483","2252161",
"St. Lucia","LCA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53705","54991","56682","58560","60355","62055","63673","65236","66763","68244","69661","71103","72851","74606","76323","78028","79727","81421","83110","84795","86680","88652","92651","94186","95713","97227","98682","100030","101390","100650","97026","100578",
"Latin America & Caribbean","LCN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169693866","174260979","179620116","185229011","190450417","195775634","198709793","205615816","210958515","215376585","219866783","224860880","229446726","234867227","241632743","247735815","252982484","256641139","260976738","266498183","269066318","272321356","277130620","281481593","285024850","289338582","293396548","297753083","302124426","306280864","285643785","300993517",
"Least developed countries: UN classification","LDC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197902300","203135808","208802317","214735037","220697804","226902318","233046096","239164700","245741765","252666617","259420453","266821152","274293042","281937992","289547942","297365258","304680971","311573486","318573650","325949155","333964827","342308753","350345763","358900516","367891324","377641263","387676790","400619242","412066206","422908180","422827718","436837302",
"Low income","LIC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117579064","120643247","124085109","127528490","130833112","134530071","138373641","142056237","145904778","150088526","154304776","158599055","163387687","168425976","173478959","178643252","183665052","188657890","193809328","198945983","204396214","210215664","215688152","221230406","226759206","233078322","239922081","247158185","254787521","262935318","264021580","273924415",
"Liechtenstein","LIE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7242021","7092450","6925874","7065994","7236297","7082438","7261673","7340362","7909446","7793450","7639061","7689722","7741345","7791023","7838130","7880821","7918652","7953832","7984929","8013245","8042157","8042857","8016571","8249427","8259685","8442346","8570477","8739206","8491356","8666096","8620501","8826287",
"Lower middle income","LMC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","737507476","755733331","774608893","792423165","813751305","831879197","852007750","871675496","893722709","916163384","937250572","959955399","980080162","1002904740","1026530518","1048528431","1063696621","1082554011","1095875782","1111139958","1127858403","1140710559","1152327560","1165901355","1180611251","1197107426","1212122015","1228506528","1244787644","1267734354","1235296200","1267109919",
"Low & middle income","LMY","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1822788322","1858875727","1896501956","1929320545","1967997523","2004884223","2041992800","2082622547","2124447432","2170087253","2210518281","2250419691","2290563348","2332275153","2375405106","2417189335","2447891180","2479868194","2504869992","2530543706","2554322018","2586057038","2612552702","2639015276","2668320671","2701679245","2731038005","2760559195","2790534051","2828323440","2768057108","2827396884",
"Lesotho","LSO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","768779","782416","796054","809351","822467","835193","847490","858952","869414","878060","880394","880444","878634","875148","869678","863588","860246","860542","862430","864041","865440","867543","870326","873464","883375","893639","905650","918437","931944","945597","950985","963885",
"Late-demographic dividend","LTE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","960901644","974428158","988721506","1000165462","1011771071","1025435280","1037249744","1052600677","1067324816","1085700117","1100810682","1113091190","1125892151","1137795271","1150461397","1164369295","1174704340","1183216805","1190236435","1195936984","1197485668","1208854114","1216228305","1222102048","1229751607","1236960944","1241037230","1244861188","1247635613","1251420046","1232367649","1238566546",
"Lithuania","LTU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1917884","1900854","1879091","1852232","1823799","1795470","1768256","1742460","1718203","1720980","1693580","1658207","1641395","1689186","1596580","1557095","1513906","1513018","1511945","1519375","1498066","1481727","1472231","1465316","1476890","1468508","1476945","1460791","1467697","1475085","1486169","1479760",
"Luxembourg","LUX","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157920","165345","172615","171764","173480","169267","171873","174574","177043","182734","188839","192605","198187","198677","204896","210533","214872","219204","224282","237839","240833","246661","258659","268091","278241","285050","286784","296430","305430","315771","322041","333257",
"Latvia","LVA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1215439","1214852","1229166","1217008","1196393","1183718","1173320","1167637","1153912","1127978","1095654","1098210","1121199","1101201","1101406","1094452","1121857","1137565","1150923","1105823","1059977","1033395","1039903","1021195","1006638","1009906","1004171","999649","1000243","988868","988585","956869",
"Macao SAR, China","MAC","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150724","156414","160739","169424","177844","186099","194239","202411","205902","211178","216467","221348","227477","228595","242717","258031","276694","299524","315892","327792","338660","352684","359270","365781","374705","378525","379880","385238","392773","396668","391720","405077",
"St. Martin (French part)","MAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7439483","7612360","7853198","8089403","8244995","8543573","8703961","8984749","9190156","9443347","9682769","9872499","9977433","10184411","10395657","10618681","10841392","11058307","11268009","11361433","11445798","11533784","11546217","11708832","11827998","11854873","11796246","11696824","11843455","11992890","11624124","12285624",
"Monaco","MCO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1191826","1214989","1232454","1242967","1251518","1252182","1269440","1270632","1295207","1313382","1317638","1311489","1302894","1194366","1155038","1137266","1081689","1049592","1038729","1003552","976683","993293","958149","973951","1016335","1031891","1021468","984636","943903","906621","853713","862172",
"Madagascar","MDG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5587842","5775352","5963957","6158767","6361394","6567985","6782853","7002075","7227148","7457615","7694992","7942253","8209062","8470721","8745514","9031778","9336799","9653351","9981263","10322072","10675098","11039128","11412154","11791420","12174100","12558422","12936283","13323243","13718779","14122745","14413268","14925442",
"Maldives","MDV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59255","61434","63713","66124","68711","71622","75365","79343","83543","87989","92799","96232","99739","103243","106760","110259","114853","120876","127162","133288","142505","151786","161070","170346","181104","193444","205847","221221","236538","250805","242481","255366",
"Middle East & North Africa","MEA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70679900","73019114","75495490","77849978","80224034","82202211","84324170","86978484","89634010","93418700","96101039","98395844","100180169","103635666","107296041","111258777","115160975","119151229","121693057","125851026","129939257","131411935","134861962","138067231","140011164","142917228","146492482","148329112","150319668","152986623","150473747","153209503",
