"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230669","234189","225170","215044","215609","218800","224201","229739","236070","244302","254064","264329","275240","286771","298864","309880","317948","325013","332055","338969","338303","341235","332058","342591","334024","342466","348313","354541","361072","367463","359185","366787",
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434369","449531","465899","483379","500969","518448","536370","553974","571034","587962","604481","625334","645728","665680","685506","705453","725796","758244","792136","827046","805850","831878","856975","882334","908862","936988","967141","999039","1031385","1063621","1066751","1116485",
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1078561","1108097","1140475","1175435","1211845","1244144","1276862","1313887","1352143","1392226","1434054","1469433","1505203","1544126","1577653","1613926","1645567","1673441","1706706","1741932","1774367","1793765","1792920","1784916","1758255","1749975","1780977","1814399","1849471","1893599","1932138","1985303",
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14743717","14803644","14782202","14871262","15013490","15119721","15278818","15520772","15760787","16041716","16308540","16585665","17068694","17463546","17673741","17819057","18035497","18382598","18662574","18787384","18985431","19146806","19316264","19522292","19586757","19690128","19877599","20144986","20344109","20758436","20487246","20971220",
"Central Europe and the Baltics","CEB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52570214","52978450","53075367","52687299","52245312","51794604","51161284","51244088","51126770","51105402","51006888","50714529","49335704","48814451","48799956","48694011","48780299","48774522","48881486","48970854","49014239","48768735","49035658","49078875","49363617","49306914","49117807","49480252","49392703","49348388","49027199","48739482",
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3803704","3852643","3880814","3904542","3881031","3887534","3938957","3936594","3984661","3998186","3998850","4062012","4103899","4151688","4156364","4176327","4239193","4307258","4410392","4477719","4447007","4532128","4589900","4647770","4732391","4804656","4886342","4920491","4956328","4971006","4979813","4980847",
"Channel Islands","CHI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67790","68325","68460","68300","68298","68654","69191","69671","70298","71121","71477","72648","73972","74988","75554","76062","76300","76581","77834","79109","79610","79373","79729","80236","80804","81596","82427","83079","83802","84527","84092","85558",
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4910898","5071896","5272826","5429573","5571433","5759220","5926506","6031946","6153951","6252432","6281817","6292422","6348066","6524560","6686711","6849194","7114930","7297901","7574753","7672069","7836109","8131735","8209415","8324494","8468946","8566114","8661001","8872208","9059235","9214285","8698434","9081006",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","639133931","647240834","655427845","663270319","671847528","681134982","691090292","702212311","712827243","722366791","731993932","739359587","747567993","755273050","762251082","769371829","774287018","776045119","776378197","775599059","774058122","778323487","778938037","779042524","780062437","780709618","780524281","778674690","776278486","775321073","751446304","780370667",
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4131286","4311020","4500438","4697202","4898928","5104513","5318976","5532489","5730464","5891255","6020616","6137014","6264405","6414848","6577438","6748109","6923835","7104515","7289697","7478860","7674193","7842038","7988446","8151021","8360974","8617882","8883562","9157647","9441715","9735200","9943686","10355728",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5047941","5197703","5350772","5510627","5675655","5844753","6022327","6206856","6395115","6584643","6777417","6980594","7195631","7417444","7641508","7867103","8098747","8341459","8418157","8476630","8515123","8654090","8788788","8923110","9090658","9410155","9711721","9996943","10286704","10596388","10818499","11162667",
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14398503","14886288","15310506","15793370","16701281","17461535","17598922","17661193","17975241","18457645","18972844","19559967","20178952","20775195","21399274","22085662","22533507","22982376","23412172","23828069","24281010","24782462","25253938","26115207","27011671","27914047","28894271","29889916","30828286","31751450","32445874","33725416",
